Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
6/12/2013,13:00,ZionSpartan,Team Coast,Team SoloMid,(30:44),0,Ghost,Flash,4,3,1,188,8.9k,Zhonya's Hourglass,Spirit of the Spectral Wraith,Ionian Boots of Lucidity,Blasting Wand,Amplifying Tome,Empty,Ryze,Kennen,Karthus,Jayce,Lee Sin,Trundle
6/12/2013,13:00,NintendudeX,Team Coast,Team SoloMid,(30:44),0,Smite,Flash,0,4,5,77,5.6k,Spirit of the Ancient Golem,Ninja Tabi,Kindlegem,Ruby Crystal,Cloth Armor,Empty,Ryze,Kennen,Karthus,Jayce,Lee Sin,Trundle
6/12/2013,13:00,Shiphtur,Team Coast,Team SoloMid,(30:44),0,Ignite,Flash,1,3,3,244,9.6k,Blade of the Ruined King,Last Whisper,Ninja Tabi - Homeguard,The Brutalizer,Empty,Empty,Ryze,Kennen,Karthus,Jayce,Lee Sin,Trundle
6/12/2013,13:00,DontMashMe,Team Coast,Team SoloMid,(30:44),0,Cleanse,Flash,1,5,3,227,9k,The Bloodthirster,Last Whisper,Zeal,Berserker's Greaves,Cloak of Agility,Doran's Blade,Ryze,Kennen,Karthus,Jayce,Lee Sin,Trundle
6/12/2013,13:00,Daydreamin,Team Coast,Team SoloMid,(30:44),0,Exhaust,Flash,0,3,6,12,5.5k,Ruby Sightstone,Philosopher's Stone,Boots of Speed,Empty,Empty,Empty,Ryze,Kennen,Karthus,Jayce,Lee Sin,Trundle
6/12/2013,13:00,Dyrus,Team SoloMid,Team Coast,(30:44),1,Ignite,Flash,3,0,12,182,11.5k,Runic Bulwark,Sunfire Cape,Bilgewater Cutlass,Mercury's Treads,Giant's Belt,Empty,Jayce,Lee Sin,Trundle,Ryze,Kennen,Karthus
6/12/2013,13:00,TheOddOne,Team SoloMid,Team Coast,(30:44),1,Smite,Flash,4,1,10,118,10k,Randuin's Omen,Spirit of the Spectral Wraith,Locket of the Iron Solari,Mercury's Treads,Empty,Empty,Jayce,Lee Sin,Trundle,Ryze,Kennen,Karthus
6/12/2013,13:00,Reginald,Team SoloMid,Team Coast,(30:44),1,Flash,Ignite,7,2,7,286,14.1k,The Black Cleaver,Guardian Angel,Last Whisper,Muramana,Mejai's Soulstealer,Ionian Boots of Lucidity,Jayce,Lee Sin,Trundle,Ryze,Kennen,Karthus
6/12/2013,13:00,WildTurtle,Team SoloMid,Team Coast,(30:44),1,Flash,Barrier,3,1,10,236,12.2k,The Bloodthirster,Phantom Dancer,Last Whisper,Berserker's Greaves,Cloak of Agility,Doran's Blade,Jayce,Lee Sin,Trundle,Ryze,Kennen,Karthus
6/12/2013,13:00,Xpecial,Team SoloMid,Team Coast,(30:44),1,Exhaust,Flash,1,2,8,11,7.9k,Shurelya's Reverie,Ruby Sightstone,Mercury's Treads,Vision Ward,Sight Ward,Empty,Jayce,Lee Sin,Trundle,Ryze,Kennen,Karthus
